iter	Passed	Remaining
0	151	151189
1	153	76462
2	155	51620
3	157	39216
4	159	31790
5	161	26795
6	163	23202
7	165	20516
8	167	18425
9	169	16744
10	171	15392
11	173	14252
12	174	13286
13	176	12452
14	178	11753
15	180	11118
16	182	10571
17	185	10098
18	187	9677
19	189	9305
20	191	8944
21	193	8622
22	195	8322
23	197	8043
24	199	7781
25	201	7549
26	203	7330
27	205	7126
28	207	6935
29	208	6755
30	210	6588
31	212	6431
32	214	6284
33	216	6151
34	218	6020
35	220	5896
36	222	5780
37	223	5668
38	225	5563
39	227	5461
40	229	5365
41	231	5279
42	233	5192
43	235	5110
44	237	5032
45	239	4957
46	240	4883
47	242	4812
48	244	4744
49	246	4685
50	248	4627
51	250	4569
52	252	4514
53	254	4460
54	256	4405
55	258	4353
56	260	4304
57	262	4259
58	264	4214
59	266	4169
60	268	4125
61	269	4081
62	271	4039
63	273	3997
64	275	3958
65	277	3925
66	279	3889
67	281	3857
68	283	3826
69	285	3792
70	287	3761
71	289	3727
72	290	3693
73	292	3665
74	294	3635
75	296	3605
76	298	3577
77	300	3549
78	302	3522
79	303	3495
80	305	3469
81	308	3454
82	310	3432
83	312	3408
84	314	3384
85	316	3360
86	318	3337
87	319	3314
88	321	3294
89	323	3272
90	325	3251
91	327	3230
92	329	3210
93	331	3192
94	333	3172
95	334	3154
96	336	3136
97	338	3118
98	340	3099
99	342	3081
100	344	3064
101	346	3046
102	348	3030
103	349	3013
104	351	3000
105	354	2987
106	356	2976
107	358	2961
108	360	2946
109	362	2933
110	364	2919
111	366	2908
112	368	2895
113	371	2883
114	372	2870
115	375	2857
116	377	2848
117	379	2836
118	382	2829
119	384	2821
120	387	2813
121	389	2802
122	391	2790
123	393	2779
124	395	2768
125	397	2757
126	399	2746
127	401	2736
128	404	2728
129	406	2718
130	408	2707
131	410	2698
132	412	2689
133	414	2680
134	416	2670
135	418	2659
136	420	2648
137	422	2638
138	424	2628
139	427	2623
140	429	2615
141	431	2605
142	433	2600
143	435	2591
144	438	2583
145	440	2574
146	442	2569
147	445	2563
148	447	2555
149	449	2546
150	451	2537
151	453	2527
152	454	2518
153	457	2511
154	459	2502
155	460	2494
156	462	2485
157	464	2476
158	466	2468
159	468	2460
160	470	2451
161	472	2445
162	475	2439
163	477	2433
164	479	2427
165	481	2420
166	483	2412
167	485	2405
168	487	2399
169	489	2391
170	491	2384
171	494	2378
172	496	2371
173	498	2364
174	500	2358
175	502	2351
176	504	2345
177	506	2338
178	508	2331
179	510	2324
180	512	2317
181	513	2310
182	516	2303
183	517	2297
184	519	2290
185	521	2283
186	523	2276
187	525	2270
188	527	2263
189	529	2257
190	531	2251
191	533	2245
192	535	2238
193	537	2231
194	538	2224
195	540	2217
196	542	2210
197	544	2204
198	546	2198
199	548	2194
200	550	2189
201	553	2184
202	554	2178
203	556	2172
204	558	2165
205	560	2159
206	562	2154
207	564	2148
208	565	2141
209	567	2135
210	569	2129
211	571	2122
212	573	2117
213	575	2114
214	577	2110
215	579	2104
216	582	2101
217	584	2096
218	586	2090
219	587	2084
220	589	2079
221	591	2074
222	593	2068
223	595	2062
224	597	2056
225	598	2050
226	600	2045
227	602	2039
228	604	2034
229	606	2031
230	608	2026
231	610	2022
232	612	2017
233	614	2011
234	616	2005
235	617	2000
236	619	1995
237	621	1989
238	623	1986
239	626	1982
240	627	1977
241	629	1972
242	631	1967
243	633	1962
244	635	1958
245	637	1954
246	639	1949
247	641	1944
248	643	1939
249	644	1934
250	646	1930
251	648	1925
252	651	1922
253	652	1917
254	655	1914
255	657	1909
256	659	1905
257	660	1900
258	662	1896
259	665	1895
260	668	1891
261	669	1887
262	671	1882
263	673	1878
264	675	1874
265	677	1869
266	679	1866
267	681	1861
268	683	1857
269	685	1852
270	687	1848
271	688	1843
272	690	1838
273	692	1834
274	694	1830
275	696	1825
276	697	1821
277	699	1816
278	701	1812
279	703	1808
280	704	1803
281	706	1799
282	708	1795
283	710	1790
284	711	1786
285	713	1781
286	715	1777
287	717	1773
288	719	1769
289	720	1764
290	722	1761
291	724	1757
292	726	1753
293	728	1748
294	729	1744
295	731	1739
296	733	1735
297	734	1731
298	736	1727
299	738	1723
300	740	1720
301	742	1716
302	744	1712
303	746	1708
304	747	1704
305	749	1700
306	751	1696
307	753	1692
308	755	1689
309	757	1686
310	760	1683
311	762	1680
312	764	1676
313	765	1673
314	767	1669
315	770	1667
316	773	1665
317	775	1663
318	777	1660
319	780	1657
320	781	1653
321	783	1650
322	786	1647
323	788	1644
324	790	1641
325	792	1638
326	793	1634
327	795	1630
328	797	1626
329	800	1624
330	802	1621
331	804	1617
332	805	1613
333	807	1610
334	809	1607
335	811	1604
336	813	1601
337	815	1597
338	817	1594
339	819	1591
340	821	1587
341	823	1584
342	825	1582
343	827	1578
344	830	1576
345	832	1572
346	833	1569
347	835	1565
348	837	1562
349	839	1559
350	841	1556
351	843	1552
352	845	1550
353	848	1547
354	850	1545
355	852	1541
356	854	1538
357	855	1534
358	857	1531
359	859	1528
360	861	1525
361	863	1521
362	864	1517
363	866	1514
364	868	1511
365	870	1507
366	872	1504
367	874	1501
368	876	1499
369	878	1495
370	880	1493
371	882	1490
372	884	1486
373	886	1483
374	888	1480
375	889	1476
376	891	1473
377	893	1469
378	895	1466
379	896	1463
380	898	1459
381	900	1456
382	902	1453
383	904	1450
384	905	1446
385	907	1443
386	909	1440
387	911	1437
388	913	1434
389	914	1431
390	916	1428
391	918	1425
392	920	1422
393	922	1418
394	924	1415
395	926	1412
396	927	1409
397	929	1406
398	931	1403
399	933	1400
400	935	1397
401	937	1394
402	939	1391
403	941	1388
404	942	1384
405	944	1381
406	946	1378
407	948	1375
408	950	1372
409	951	1369
410	953	1366
411	955	1363
412	957	1360
413	959	1357
414	960	1354
415	962	1351
416	964	1348
417	966	1346
418	968	1343
419	970	1340
420	972	1338
421	974	1335
422	977	1332
423	979	1330
424	981	1327
425	983	1325
426	985	1322
427	987	1320
428	989	1317
429	991	1314
430	994	1312
431	996	1310
432	998	1308
433	1001	1305
434	1003	1302
435	1005	1300
436	1006	1297
437	1009	1295
438	1011	1292
439	1013	1290
440	1015	1287
441	1017	1284
442	1019	1282
443	1021	1279
444	1023	1276
445	1025	1274
446	1027	1271
447	1029	1268
448	1032	1266
449	1033	1263
450	1035	1260
451	1037	1257
452	1039	1255
453	1041	1253
454	1044	1250
455	1046	1248
456	1048	1245
457	1050	1242
458	1052	1240
459	1054	1238
460	1056	1235
461	1058	1232
462	1060	1229
463	1062	1227
464	1064	1224
465	1066	1222
466	1068	1219
467	1070	1216
468	1072	1214
469	1074	1211
470	1076	1208
471	1077	1205
472	1079	1203
473	1081	1200
474	1083	1197
475	1086	1195
476	1088	1193
477	1090	1190
478	1091	1187
479	1093	1184
480	1095	1181
481	1097	1179
482	1099	1176
483	1100	1173
484	1102	1170
485	1104	1168
486	1106	1165
487	1108	1162
488	1109	1159
489	1111	1156
490	1113	1154
491	1115	1151
492	1116	1148
493	1118	1145
494	1120	1143
495	1122	1140
496	1124	1137
497	1125	1135
498	1127	1132
499	1129	1129
500	1131	1127
501	1133	1124
502	1135	1121
503	1137	1119
504	1139	1116
505	1141	1114
506	1143	1111
507	1144	1108
508	1146	1106
509	1148	1103
510	1150	1100
511	1152	1098
512	1153	1095
513	1156	1093
514	1158	1090
515	1160	1088
516	1162	1085
517	1164	1083
518	1165	1080
519	1167	1077
520	1169	1075
521	1172	1073
522	1174	1071
523	1176	1069
524	1178	1066
525	1180	1064
526	1182	1061
527	1184	1058
528	1187	1056
529	1189	1054
530	1191	1052
531	1192	1049
532	1194	1046
533	1196	1043
534	1198	1041
535	1199	1038
536	1201	1035
537	1203	1033
538	1205	1030
539	1207	1028
540	1209	1025
541	1210	1023
542	1212	1020
543	1214	1018
544	1217	1016
545	1219	1014
546	1222	1012
547	1224	1009
548	1225	1006
549	1227	1003
550	1229	1001
551	1231	999
552	1233	996
553	1235	994
554	1238	992
555	1239	990
556	1241	987
557	1243	985
558	1245	982
559	1248	981
560	1251	979
561	1253	977
562	1255	974
563	1257	972
564	1259	969
565	1261	967
566	1263	965
567	1265	962
568	1267	960
569	1269	957
570	1271	955
571	1273	953
572	1275	950
573	1277	948
574	1279	945
575	1281	943
576	1283	941
577	1285	938
578	1287	935
579	1288	933
580	1290	930
581	1292	928
582	1294	925
583	1295	923
584	1297	920
585	1299	918
586	1301	915
587	1303	913
588	1305	910
589	1307	908
590	1309	906
591	1311	903
592	1313	901
593	1314	898
594	1316	896
595	1318	893
596	1320	891
597	1322	888
598	1323	886
599	1325	883
600	1327	881
601	1329	878
602	1331	876
603	1332	873
604	1334	871
605	1337	869
606	1339	867
607	1341	865
608	1343	862
609	1345	859
610	1346	857
611	1348	855
612	1350	852
613	1352	850
614	1354	848
615	1356	845
616	1358	843
617	1360	841
618	1362	838
619	1364	836
620	1367	834
621	1369	832
622	1372	830
623	1374	828
624	1376	825
625	1378	823
626	1380	821
627	1383	819
628	1385	817
629	1386	814
630	1388	812
631	1390	809
632	1392	807
633	1394	804
634	1396	802
635	1399	800
636	1400	798
637	1402	796
638	1404	793
639	1406	791
640	1408	788
641	1410	786
642	1412	784
643	1415	782
644	1417	780
645	1419	777
646	1421	775
647	1422	772
648	1424	770
649	1425	767
650	1427	765
